MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmpOverall
40,0,19,2,1,3,62,59,1,2,0,3,7,0,0,0,0,0,0
702,17,151,0,8,35,878,843,5,5,6,12,2,0,0,0,0,0,0
6,3,14,15,7,36,45,9,3,3,1,2,7,0,0,0,0,0,0
55,0,6,2,0,4,63,59,2,1,1,3,5,0,0,0,0,0,0
437,8,206,160,49,42,860,818,2,7,10,5,6,1,0,0,0,0,1
421,76,536,82,178,102,1293,1191,2,8,6,5,4,0,0,0,0,0,0
13,1,29,3,0,7,46,39,2,2,0,3,8,0,0,0,0,0,0
9,0,6,3,1,3,19,16,1,0,0,3,5,0,0,0,0,0,0
3,1,10,3,2,12,19,7,3,2,0,3,5,0,0,0,0,0,0
123,164,266,227,30,174,810,636,1,2,4,9,1,0,0,0,0,0,0
3,18,14,15,22,50,72,22,3,3,1,3,9,0,0,0,0,0,0
13,6,15,3,5,13,42,29,1,2,0,2,10,0,0,0,0,0,0
826,50,317,50,38,38,1281,1243,9,5,2,12,8,0,0,0,0,0,0
245,19,125,37,67,14,493,479,1,4,2,10,2,0,0,0,0,0,0
650,37,780,27,167,32,1661,1629,1,6,9,13,3,0,0,0,0,0,0
12,6,20,30,1,3,69,66,2,2,0,3,7,0,0,0,0,0,0
510,120,550,156,40,241,1376,1135,1,4,9,7,1,1,0,0,1,0,2
328,9,124,12,24,109,497,388,7,4,2,10,3,0,0,0,0,0,0
984,51,432,180,120,190,1767,1577,1,3,10,13,1,0,0,1,0,0,1
295,35,482,121,120,40,1053,1013,1,5,5,10,3,0,0,0,0,0,0
13,0,8,2,1,5,24,19,1,1,0,4,3,0,0,0,0,0,0
447,0,28,0,0,43,475,432,3,8,2,6,7,0,0,0,0,0,0
712,26,538,69,13,80,1358,1278,1,3,6,11,1,0,1,1,0,0,2
452,18,102,16,18,6,606,600,4,4,2,12,3,0,0,0,0,0,0
523,7,134,37,14,169,715,546,4,8,2,10,7,0,0,0,0,0,0
546,0,48,0,6,6,600,594,1,7,3,8,5,0,0,0,0,0,0
398,40,367,119,122,30,1046,1016,1,7,4,4,4,0,0,0,0,0,0
1,3,6,3,6,15,19,4,1,1,1,2,7,0,0,0,0,0,0
10,0,1,0,0,0,11,11,1,1,0,2,7,0,0,0,0,0,0
688,14,309,201,24,38,1236,1198,1,11,10,10,5,1,0,0,1,0,2
247,49,159,7,82,109,544,435,1,5,2,10,4,0,0,0,0,0,0
856,59,487,58,29,73,1489,1416,7,2,5,5,5,0,0,0,0,0,0
496,36,460,189,60,12,1241,1229,3,4,8,6,3,0,0,0,0,0,0
258,107,291,84,37,86,777,691,4,10,3,13,7,0,0,0,0,0,0
565,6,65,0,6,19,642,623,5,9,2,8,7,0,1,0,0,0,1
14,10,13,4,15,9,56,47,1,2,1,4,2,0,0,0,0,0,0
2,1,6,2,1,1,12,11,1,1,0,2,6,0,0,0,0,0,0
721,111,925,97,18,18,1872,1854,1,7,6,5,5,0,0,0,0,0,0
1032,105,779,137,105,51,2158,2107,0,5,8,9,4,1,0,0,0,0,1
1,0,5,0,3,9,9,0,1,0,0,3,3,0,0,0,0,0,0
577,0,64,0,0,51,641,590,2,10,1,8,8,1,0,0,0,0,1
64,4,68,7,5,17,148,131,4,3,1,4,8,0,0,0,0,0,0
4,1,5,2,0,4,12,8,1,1,0,2,7,0,0,0,0,0,0
25,5,19,7,0,23,56,33,3,3,0,3,7,0,0,0,0,0,0
112,17,44,34,22,89,229,140,1,2,5,3,3,0,0,0,0,0,0
163,23,424,27,65,76,702,626,1,3,10,13,1,0,0,0,0,0,0
17,8,14,10,4,3,53,50,2,1,0,4,7,0,0,0,0,0,0
130,0,16,0,0,5,146,141,5,3,1,4,7,0,1,0,0,0,1
292,6,37,0,3,34,338,304,4,6,1,6,7,0,1,0,1,0,2
350,60,568,110,133,145,1221,1076,1,5,6,7,2,0,0,1,0,0,1
135,9,39,4,0,7,187,180,1,2,2,5,2,0,0,0,0,0,0
15,2,10,0,1,4,28,24,1,1,0,3,7,0,0,0,0,0,0
27,2,14,0,0,0,43,43,3,3,1,3,5,0,0,0,0,0,0
5,3,11,12,5,9,36,27,1,2,0,3,6,0,0,0,0,0,0
505,0,26,0,0,75,531,456,5,7,4,6,6,0,1,0,0,0,1
51,2,7,0,1,2,61,59,2,2,0,3,7,0,0,0,0,0,0
207,26,447,75,0,223,755,532,1,5,7,12,2,0,0,0,1,0,1
135,46,92,65,61,11,399,388,2,5,2,7,5,0,0,0,0,0,0
53,1,5,2,1,10,62,52,2,2,0,3,8,0,0,0,0,0,0
41,1,6,2,0,5,50,45,2,2,0,3,6,0,0,0,0,0,0
386,172,183,185,132,111,1058,947,2,9,5,11,5,0,0,0,0,0,0
562,81,276,80,40,81,1039,958,1,6,3,6,4,0,0,0,0,0,0
217,76,690,50,26,38,1059,1021,1,3,11,5,1,0,0,0,0,0,0
1,3,6,10,0,9,20,11,1,1,0,3,5,0,0,0,0,0,0
144,1,32,2,1,7,180,173,4,4,1,4,7,0,0,0,0,0,0
295,106,271,75,98,65,845,780,4,6,4,12,6,0,0,0,0,0,0
76,3,31,4,4,27,118,91,2,3,1,3,7,0,0,0,0,0,0
454,194,106,31,22,43,807,764,1,5,4,4,2,0,0,0,0,0,0
425,115,292,23,35,79,890,811,1,6,6,11,3,0,0,0,0,0,0
1332,17,311,23,51,86,1734,1648,1,7,4,5,9,0,1,0,0,0,1
527,0,21,0,0,60,548,488,3,8,1,8,6,0,1,0,0,0,1
490,44,125,29,20,22,708,686,1,6,7,11,3,0,1,1,0,0,2
378,0,101,0,0,72,479,407,5,6,4,6,7,0,0,0,0,0,0
64,1,21,0,1,27,87,60,2,2,1,3,6,0,0,0,0,0,0
547,99,812,151,82,33,1691,1658,0,4,6,5,1,0,0,1,1,0,2
47,90,94,123,103,120,457,337,5,9,1,5,9,0,0,0,0,0,0
12,5,25,0,9,30,51,21,2,1,1,3,5,0,0,0,0,0,0
1,6,7,11,5,3,30,27,2,2,0,3,6,0,0,0,0,0,0
320,48,133,39,72,48,612,564,4,6,2,10,4,0,0,0,0,0,0
34,3,29,0,4,10,70,60,3,2,1,3,5,0,0,0,0,0,0
9,0,7,3,4,7,23,16,2,1,0,3,7,0,0,0,0,0,0
17,0,14,7,3,2,41,39,1,1,0,3,7,0,0,0,0,0,0
722,27,102,44,72,168,967,799,0,6,8,13,2,0,1,1,1,0,3
162,33,124,40,28,172,387,215,2,3,4,7,1,0,0,0,0,0,0
450,133,951,173,0,216,1707,1491,1,3,6,6,1,0,0,0,0,0,0
70,0,16,0,0,4,86,82,2,2,0,4,6,0,0,0,0,0,0
492,19,110,16,12,12,649,637,4,6,3,10,4,0,0,0,0,0,0
120,58,73,65,89,58,405,347,5,5,4,5,5,0,0,0,0,0,0
534,5,47,0,5,41,591,550,5,11,1,6,8,0,0,0,0,0,0
236,106,189,23,41,130,595,465,1,7,2,9,4,0,0,0,0,0,0
220,0,33,3,0,23,256,233,5,5,1,5,8,0,0,0,0,0,0
796,14,590,38,44,0,1482,1482,1,4,5,13,3,0,1,0,0,0,1
0,1,3,10,6,9,20,11,2,1,0,3,8,0,0,0,0,0,0
53,1,34,2,0,16,90,74,3,2,2,2,8,0,0,0,0,0,0
15,0,8,4,2,20,29,9,2,1,1,2,5,1,0,0,0,0,1
17,1,12,3,1,4,34,30,2,2,0,3,7,0,0,0,0,0,0
962,61,921,52,61,20,2057,2037,1,5,4,12,2,0,0,0,0,0,0
738,0,232,13,20,50,1003,953,2,3,5,7,7,0,0,0,0,0,0
399,28,756,36,40,126,1259,1133,1,5,7,10,2,0,0,0,0,0,0
614,16,132,43,33,33,838,805,3,8,5,9,6,0,0,0,0,0,0
32,34,41,73,16,116,196,80,3,4,2,3,7,0,0,0,0,0,0
598,16,141,32,41,49,828,779,3,3,3,6,8,0,0,0,0,0,0
2,1,18,20,11,16,52,36,1,2,0,3,6,0,0,0,0,0,0
6,1,10,0,1,4,18,14,1,1,0,2,8,0,0,0,0,0,0
73,3,90,12,1,32,179,147,7,4,1,4,8,0,0,0,0,0,0
42,16,29,12,20,8,119,111,1,2,1,4,3,0,0,0,0,0,0
295,21,78,39,13,13,446,433,1,4,4,7,3,0,0,0,0,0,0
346,17,48,23,13,13,447,434,4,8,1,6,6,0,1,0,0,0,1
233,20,57,8,20,91,338,247,4,7,1,5,7,0,0,0,0,0,0
5,7,24,19,14,20,69,49,4,3,0,4,6,0,0,0,0,0,0
888,0,57,0,0,76,945,869,2,8,5,11,5,0,0,0,0,0,0
997,26,269,34,13,42,1339,1297,1,10,4,6,4,0,1,1,0,0,2
212,6,69,4,12,3,303,300,3,6,1,5,7,0,0,0,0,0,0
8,1,7,2,0,0,18,18,1,0,0,3,4,0,0,0,0,0,0
42,11,57,10,28,14,148,134,1,1,1,6,2,0,0,0,0,0,0
536,11,387,149,91,57,1174,1117,1,3,4,10,1,0,0,0,0,0,0
5,0,3,0,0,5,8,3,1,1,0,2,7,0,0,0,0,0,0
1349,16,249,43,16,33,1673,1640,2,10,6,9,6,0,0,0,0,0,0
53,3,49,7,4,5,116,111,4,3,0,4,8,0,0,0,0,0,0
1001,12,240,16,12,12,1281,1269,1,5,4,10,2,0,0,0,0,0,0
18,1,32,6,3,28,60,32,3,2,0,4,6,0,0,0,0,0,0
125,16,98,134,21,27,394,367,1,6,7,4,3,1,0,0,0,0,1
212,5,33,7,0,2,257,255,1,3,2,6,4,0,1,0,0,0,1
277,162,305,173,76,124,993,869,1,3,4,7,1,0,0,0,0,0,0
15,10,19,8,17,20,69,49,3,2,1,3,5,0,0,0,0,0,0
7,3,10,8,1,7,29,22,2,1,0,3,7,0,0,0,0,0,0
12,4,6,11,8,16,41,25,2,2,0,3,8,0,0,0,0,0,0
85,7,24,2,3,27,121,94,1,3,1,3,6,0,0,0,0,0,0
81,0,6,0,0,6,87,81,2,2,1,3,5,0,0,0,0,0,0
59,0,12,0,0,48,71,23,1,2,2,2,4,1,0,0,0,0,1
1149,71,449,69,71,26,1809,1783,1,11,8,8,5,0,0,0,0,0,0
847,66,119,86,89,111,1207,1096,1,9,10,5,4,0,1,0,1,0,2
29,0,14,0,0,2,43,41,2,2,0,3,7,0,0,0,0,0,0
2,0,5,2,0,1,9,8,1,0,0,3,2,0,0,0,0,0,0
207,26,447,75,0,223,755,532,1,5,7,12,2,0,0,0,1,0,1
152,3,22,2,5,7,184,177,1,4,1,4,5,0,0,0,0,0,0
12,11,10,3,12,9,48,39,3,2,1,3,6,0,0,0,0,0,0
620,26,195,34,17,141,892,751,1,6,4,13,2,0,0,0,0,0,0
47,1,6,0,0,12,54,42,1,1,1,3,6,0,0,0,0,0,0
1,9,7,2,14,10,33,23,1,2,0,3,6,0,0,0,0,0,0
10,1,18,10,4,7,43,36,1,1,1,2,9,0,0,0,0,0,0
35,0,2,0,0,2,37,35,2,1,0,4,5,0,0,0,0,0,0
356,0,107,19,9,117,491,374,2,7,1,8,5,0,0,0,0,0,0
783,30,537,140,76,15,1566,1551,1,4,10,9,2,0,0,0,0,0,0
42,1,18,3,0,4,64,60,2,2,0,3,7,0,0,0,0,0,0
1,4,10,29,0,36,44,8,1,1,1,2,6,1,0,0,0,0,1
466,22,432,147,113,102,1180,1078,1,8,7,12,3,0,0,0,0,0,0
23,3,21,3,19,22,69,47,2,3,0,3,8,0,0,0,0,0,0
235,6,45,8,9,12,303,291,4,5,1,6,6,0,0,0,0,0,0
10,0,10,3,1,7,24,17,2,1,1,2,8,0,0,0,0,0,0
656,16,106,32,16,8,826,818,1,7,3,12,3,0,0,0,0,0,0
519,17,813,27,173,51,1549,1498,1,4,6,6,2,0,0,1,0,0,1
344,189,482,50,33,172,1098,926,1,5,6,5,2,0,0,0,0,0,0
96,1,79,7,1,79,184,105,6,5,1,3,8,1,0,0,0,0,1
448,4,34,6,4,39,496,457,3,8,1,7,5,0,1,0,0,0,1
265,138,553,224,23,92,1203,1111,1,4,4,9,1,0,0,0,0,0,0
587,43,337,42,87,54,1096,1042,3,11,6,9,6,0,0,0,0,0,0
763,29,138,76,176,58,1182,1124,0,7,9,10,4,0,1,1,1,0,3
22,0,13,0,0,3,35,32,2,1,0,3,7,0,0,0,0,0,0
6,4,1,7,2,15,20,5,1,0,1,2,6,1,0,0,0,0,1
7,6,13,7,6,14,39,25,1,1,0,3,9,1,0,0,0,0,1
81,18,113,47,13,21,272,251,6,4,2,5,6,0,0,0,0,0,0
54,0,7,0,0,4,61,57,1,2,0,3,6,0,0,0,0,0,0
1170,48,320,42,32,192,1612,1420,5,11,4,9,8,1,0,0,0,0,1
72,24,68,65,4,8,233,225,5,3,1,6,4,0,0,0,0,0,0
613,22,319,33,102,12,1089,1077,1,4,6,9,1,0,0,0,0,0,0
224,0,30,0,0,10,254,244,8,5,1,5,8,0,0,0,0,0,0
410,0,59,19,9,44,497,453,10,7,1,8,7,0,0,0,0,0,0
239,10,554,254,87,54,1144,1090,1,3,4,9,1,0,0,0,0,0,0
171,7,171,25,19,89,393,304,6,8,1,5,8,0,0,0,0,0,0
12,0,4,0,0,1,16,15,1,1,0,2,8,0,0,0,0,0,0
1076,16,417,42,48,16,1599,1583,1,8,10,6,3,0,1,1,0,0,2
182,4,33,0,0,66,219,153,2,4,1,5,7,0,0,0,0,0,0
824,32,162,42,32,43,1092,1049,2,11,4,11,6,0,0,0,0,0,0
30,11,25,29,1,18,96,78,1,1,1,4,3,0,0,0,0,0,0
377,10,540,80,30,10,1037,1027,1,3,5,7,1,0,0,0,0,0,0
520,7,154,19,0,14,700,686,2,6,3,11,3,0,0,0,0,0,0
155,1,25,0,1,3,182,179,4,4,1,4,8,0,0,0,0,0,0
897,23,207,15,11,92,1153,1061,5,9,6,12,6,0,0,0,0,0,0
131,0,16,2,1,39,150,111,4,3,1,4,8,0,0,0,0,0,0
297,7,79,0,11,182,394,212,2,8,2,4,8,0,0,0,0,0,0
787,20,204,0,0,92,1011,919,3,2,2,11,8,0,0,0,0,0,0
792,86,740,67,51,17,1736,1719,1,3,5,8,2,0,0,0,0,0,0
4,1,9,3,0,0,17,17,1,1,0,2,8,0,0,0,0,0,0
231,7,137,4,15,39,394,355,9,5,1,8,7,0,0,0,0,0,0
983,76,184,180,138,27,1561,1534,1,6,3,4,7,0,0,1,0,0,1
3,1,8,4,3,3,19,16,1,1,0,2,8,0,0,0,0,0,0
0,4,5,6,0,4,15,11,1,1,0,3,3,0,0,0,0,0,0
562,21,464,28,10,32,1085,1053,3,7,8,11,5,0,0,0,0,0,0
5,9,20,6,8,21,48,27,2,2,0,4,6,0,0,0,0,0,0
18,0,4,0,0,1,22,21,1,1,0,3,7,0,0,0,0,0,0
415,5,124,15,35,11,594,583,1,5,2,11,3,0,0,0,0,0,0
5,3,10,12,7,20,37,17,4,3,1,3,7,0,0,0,0,0,0
901,61,757,186,163,20,2068,2048,1,6,5,10,3,0,1,0,0,0,1
382,114,276,75,124,38,971,933,2,6,4,4,3,0,0,0,0,0,0
14,1,7,2,1,1,25,24,1,2,0,2,9,0,0,0,0,0,0
559,153,503,218,13,181,1446,1265,1,3,9,9,2,0,0,0,1,0,1
789,0,133,0,28,152,950,798,7,11,5,8,7,0,0,0,0,0,0
11,0,5,0,0,1,16,15,2,1,0,3,6,0,0,0,0,0,0
1218,16,272,104,0,80,1610,1530,2,5,3,6,6,0,1,1,1,0,3
925,64,179,133,12,77,1313,1236,2,9,4,6,5,0,0,0,0,0,0
864,134,768,150,38,172,1954,1782,1,4,10,5,3,0,0,0,0,0,0
960,28,183,220,70,70,1461,1391,4,9,6,6,6,0,0,0,0,0,0
16,3,25,6,1,13,51,38,2,2,0,3,8,0,0,0,0,0,0
3,3,7,0,2,11,15,4,2,1,0,3,6,0,0,0,0,0,0
168,148,444,32,172,148,964,816,1,6,9,13,2,0,1,1,1,1,4
45,47,52,21,20,25,185,160,2,3,1,5,6,0,0,0,0,0,0
650,28,353,45,42,30,1118,1088,5,4,6,11,8,0,0,0,0,0,0
24,0,8,0,0,1,32,31,2,1,0,3,6,0,0,0,0,0,0
918,21,118,13,10,21,1080,1059,3,8,3,5,6,0,1,0,0,0,1
138,33,87,28,24,12,310,298,4,3,2,7,3,0,0,0,0,0,0
12,4,2,10,6,10,34,24,4,2,0,4,5,0,0,0,0,0,0
11,0,4,0,0,2,15,13,1,1,0,2,8,0,0,0,0,0,0
1,2,8,4,3,13,18,5,2,1,1,2,7,1,0,0,0,0,1
554,41,215,11,0,24,821,797,3,10,2,10,5,0,0,0,0,0,0
167,2,62,24,13,7,268,261,4,4,1,6,5,0,0,0,0,0,0
9,0,6,4,1,5,20,15,1,1,0,2,9,0,0,0,0,0,0
177,2,71,3,2,20,255,235,6,5,2,4,8,0,0,0,0,0,0
38,4,22,4,2,20,70,50,4,3,1,3,7,0,0,0,0,0,0
483,84,398,205,84,241,1254,1013,1,3,7,8,1,1,0,0,0,0,1
77,2,35,0,1,69,115,46,4,3,2,2,7,1,0,0,0,0,1
182,74,298,162,149,116,865,749,1,3,3,6,1,0,0,0,0,0,0
10,7,19,8,2,21,46,25,2,2,2,2,6,0,0,0,0,0,0
778,44,499,95,73,146,1489,1343,2,3,4,5,7,0,0,0,0,0,0
16,7,23,0,8,6,54,48,3,3,0,4,5,0,0,0,0,0,0
167,0,43,6,2,13,218,205,2,4,2,4,5,0,0,0,0,0,0
13,2,14,8,7,4,44,40,4,2,0,4,6,0,0,0,0,0,0
33,6,40,3,7,10,89,79,3,2,0,4,7,0,0,0,0,0,0
625,7,99,10,22,7,763,756,2,6,3,12,4,0,0,0,0,0,0
216,162,224,101,92,162,795,633,2,7,4,10,5,0,0,0,0,0,0
68,129,396,188,22,15,803,788,1,3,3,5,1,0,0,0,0,0,0
196,0,512,33,130,54,871,817,1,3,5,8,1,0,0,0,1,0,1
635,15,100,20,7,131,777,646,1,9,3,9,6,0,0,0,0,0,0
4,19,9,28,25,17,85,68,3,3,0,4,7,0,0,0,0,0,0
297,7,79,0,11,182,394,212,2,8,2,4,8,0,0,0,0,0,0
84,5,38,150,12,28,289,261,2,4,1,6,7,0,0,0,0,0,0
204,7,149,20,15,66,395,329,1,5,1,8,2,0,0,0,0,0,0
26,0,8,0,0,3,34,31,2,2,0,3,5,0,0,0,0,0,0
15,6,20,4,5,20,50,30,1,3,1,2,7,0,0,0,0,0,0
304,98,230,150,74,74,856,782,1,6,3,13,3,0,0,0,0,0,0
285,28,242,55,114,135,724,589,13,6,2,12,5,0,0,0,0,0,0
395,183,565,166,141,28,1450,1422,1,5,11,5,3,0,0,0,0,0,0
248,3,81,4,3,51,339,288,3,7,1,5,8,0,0,0,0,0,0
20,6,5,0,9,12,40,28,1,1,0,3,7,1,0,0,0,0,1
39,0,56,20,8,14,123,109,3,3,1,3,7,0,0,0,0,0,0
777,129,573,216,21,203,1716,1513,1,2,7,9,4,0,0,1,0,0,1
8,3,22,21,1,13,55,42,3,3,0,3,9,0,0,0,0,0,0
9,1,3,0,4,8,17,9,1,0,0,3,6,0,0,0,0,0,0
1241,0,80,0,13,40,1334,1294,3,3,6,11,8,0,1,0,0,1,2
6,4,7,4,3,8,24,16,1,1,0,3,7,0,0,0,0,0,0
65,4,16,0,4,11,89,78,1,3,0,3,8,0,0,0,0,0,0
395,15,263,60,54,38,787,749,1,2,3,6,1,0,0,0,0,0,0
801,0,80,0,0,35,881,846,5,8,3,12,5,0,1,0,0,0,1
36,0,12,2,2,10,52,42,4,3,1,3,5,0,0,0,0,0,0
513,14,154,19,0,28,700,672,1,9,2,9,6,0,0,0,0,0,0
37,0,46,4,3,0,90,90,1,2,1,3,4,0,0,0,0,0,0
80,15,93,20,13,52,221,169,3,5,1,4,8,0,0,0,0,0,0
14,1,21,2,3,25,41,16,3,3,1,3,7,0,0,0,0,0,0
525,147,112,219,147,63,1150,1087,1,6,7,9,2,0,0,0,1,0,1
1,26,25,17,23,15,92,77,1,3,0,3,9,0,0,0,0,0,0
675,11,400,15,45,11,1146,1135,1,2,5,10,1,0,0,1,0,0,1
509,0,27,0,0,10,536,526,1,8,3,6,7,0,1,0,0,0,1
154,2,46,20,4,15,226,211,1,4,2,4,4,0,0,0,0,0,0
3,5,14,2,12,17,36,19,4,3,1,3,6,0,0,0,0,0,0
25,0,8,2,0,2,35,33,2,2,0,3,7,0,0,0,0,0,0
768,44,561,77,44,14,1494,1480,1,6,6,10,3,0,0,0,0,0,0
185,0,28,3,2,17,218,201,6,3,1,6,4,0,0,0,0,0,0
24,0,7,0,0,1,31,30,2,2,0,3,5,0,0,0,0,0,0
44,4,21,6,0,27,75,48,2,3,0,3,7,0,0,0,0,0,0
91,64,128,65,3,50,351,301,2,4,3,6,3,0,0,0,0,0,0
11,0,7,3,1,6,22,16,2,1,0,3,5,0,0,0,0,0,0
412,5,119,38,29,77,603,526,3,3,3,12,2,0,0,0,0,0,0
3,3,7,6,2,9,21,12,1,1,0,2,7,0,0,0,0,0,0
16,0,3,0,0,1,19,18,1,1,0,2,7,0,0,0,0,0,0
731,60,353,78,12,73,1234,1161,5,10,3,5,7,0,0,0,0,0,0
424,17,118,7,23,41,589,548,6,8,2,8,8,0,0,0,0,0,0
792,0,275,45,45,126,1157,1031,1,4,8,5,3,0,0,0,0,0,0
21,2,28,3,2,9,56,47,3,2,0,4,8,0,0,0,0,0,0
22,1,11,0,1,2,35,33,1,1,0,3,7,0,0,0,0,0,0
33,0,5,0,0,0,38,38,1,1,0,3,4,0,0,0,0,0,0
68,7,59,10,5,11,149,138,4,3,1,4,8,0,0,0,0,0,0
9,1,6,3,0,4,19,15,1,1,0,2,8,0,0,0,0,0,0
40,2,15,8,0,6,65,59,1,1,1,3,4,0,0,0,0,0,0
909,11,218,0,0,23,1138,1115,2,9,3,5,5,0,0,0,0,0,0
23,1,13,2,2,18,41,23,1,1,1,2,7,1,0,0,0,0,1
11,2,9,3,0,8,25,17,2,2,0,3,8,0,0,0,0,0,0
317,46,247,151,46,139,807,668,1,4,5,12,3,0,0,0,0,0,0
797,153,293,72,97,30,1412,1382,1,11,4,6,4,0,1,1,1,0,3
10,2,16,11,2,21,41,20,1,1,0,3,8,0,0,0,0,0,0
856,61,570,40,25,122,1552,1430,1,7,6,8,3,0,0,1,0,0,1
456,19,832,75,118,38,1500,1462,1,4,5,11,3,0,0,0,0,0,0
37,32,38,11,3,18,121,103,1,2,1,4,6,0,0,0,0,0,0
1103,0,45,0,0,34,1148,1114,3,4,2,11,8,0,1,0,0,1,2
378,14,68,19,14,14,493,479,2,3,5,8,3,0,0,0,0,0,0
1,6,7,0,1,3,15,12,1,1,0,2,8,1,0,0,0,0,1
204,34,204,172,153,173,767,594,1,2,9,4,1,0,0,0,0,0,0
30,0,9,0,0,3,39,36,2,1,0,3,6,0,0,0,0,0,0
189,104,379,111,189,218,972,754,1,4,4,6,1,0,0,0,0,0,0
15,0,12,7,3,7,37,30,3,2,0,3,7,0,0,0,0,0,0
9,0,3,0,0,4,12,8,1,1,0,2,6,1,0,0,0,0,1
495,33,255,11,33,8,827,819,4,6,7,9,4,0,0,0,0,0,0
656,80,455,52,107,93,1350,1257,2,8,4,8,4,1,0,1,0,0,2
452,20,514,13,30,0,1029,1029,3,4,6,5,3,0,0,0,0,0,0
546,91,410,119,0,22,1166,1144,1,3,4,10,1,0,0,0,0,0,0
1048,0,217,0,0,12,1265,1253,5,11,3,5,6,0,0,0,0,0,0
22,2,14,0,1,10,39,29,2,2,0,3,7,0,0,0,0,0,0
78,0,11,0,0,10,89,79,1,2,0,4,6,0,1,0,0,0,1
561,64,785,84,128,48,1622,1574,1,3,3,8,1,0,0,0,0,0,0
629,17,177,69,0,8,892,884,1,5,3,5,2,0,0,0,0,0,0
269,15,69,15,19,38,387,349,2,4,6,4,5,0,0,0,0,0,0
736,163,818,212,163,61,2092,2031,1,4,7,10,2,0,1,0,0,0,1
512,0,83,0,0,41,595,554,3,6,2,10,4,0,0,0,0,0,0
19,3,10,11,8,6,51,45,3,2,1,4,4,0,0,0,0,0,0
9,0,6,4,1,5,20,15,1,1,0,2,9,0,0,0,0,0,0
247,8,160,6,8,65,429,364,7,6,3,6,7,0,0,0,0,0,0
404,0,92,28,27,142,551,409,2,6,2,9,4,0,0,0,0,0,0
333,0,815,129,42,29,1319,1290,1,4,10,11,2,0,0,0,0,0,0
2,3,20,6,11,9,42,33,2,2,0,3,7,0,0,0,0,0,0
833,33,549,151,133,233,1699,1466,1,4,3,8,3,0,0,0,0,0,0
789,0,142,12,9,38,952,914,2,2,4,8,8,0,0,0,0,0,0
10,4,7,0,6,3,27,24,1,1,0,3,6,0,0,0,0,0,0
